word1,word2,score_avg,score_rescaled
dividend,càlcul,0.15,7.13
dividend,pagament,-0.01,6.71
droga,abús,0.04,6.86
dòlar,benefici,0.38,7.7
dòlar,ien,1.0,9.19
dòlar,pasta,0.76,8.63
dòlar,pèrdua,0.3,7.49
eina,implementar,-0.66,5.14
empresa,estoc,0.17,7.17
energia,crisi,0.4,7.74
energia,laboratori,-0.23,6.18
energia,secretària,-2.77,0.0
enregistrament,número,-0.36,5.87
equipament,fabricant,0.36,7.64
escola,centre,0.85,8.84
espai,química,-0.81,4.76
estoc,CD,-1.45,3.2
estoc,jaguar,-2.22,1.34
estoc,mercat,0.31,7.52
estoc,ou,-1.82,2.31
estoc,telèfon,-1.78,2.42
estoc,vida,-2.17,1.45
estoc,viu,-1.89,2.13
estudiant,professor,0.86,8.86
fertilitat,ou,0.17,7.17
forn,estufa,0.4,7.74
fotre,sexe,0.86,8.85
fusta,bosc,0.71,8.5
futbol,bàsquet,0.64,8.33
futbol,futbol,1.33,10.0
futbol,tennis,0.43,7.81
física,protó,0.79,8.69
física,química,0.57,8.18
gall,viatge,-2.29,1.12
gemma,joia,1.08,9.39
germà,monjo,-0.02,6.69
govern,crisi,0.55,8.11
governador,entrevista,-0.24,6.15
grua,implementar,-1.62,2.81
guerra,tropes,0.83,8.77
hospital,infraestructura,0.28,7.44
hotel,reserva,0.81,8.74
imatge,superfície,-0.71,5.01
imparcialitat,interès,0.36,7.64
infart,hospital,0.96,9.11
informe,guany,-0.07,6.56
inscripció,arranjament,0.04,6.87
intel·ligent,estudiant,-0.2,6.24
intel·ligent,estúpid,0.86,8.85
intentar,pau,-0.36,5.87
inversor,guanyar,0.59,8.21
investigació,esforç,0.04,6.86
jaguar,cotxe,0.43,7.81
jaguar,gat,0.73,8.52
joc,derrota,0.74,8.58
joc,equip,0.62,8.27
joc,ronda,0.66,8.36
joc,sèrie,0.21,7.28
joc,victòria,0.49,7.96
llamàntol,menjar,0.83,8.77
llamàntol,vi,-1.03,4.22
llei,advocat,0.88,8.91
llibre,biblioteca,0.93,9.02
llibre,paper,0.23,7.33
llistat,categoria,0.17,7.18
llistat,proximitat,-1.12,4.01
llit,armari,0.38,7.7
lluita,derrotant,0.51,8.01
luxe,cotxe,-0.31,5.98
línia,assegurança,-1.52,3.04
líquid,aigua,0.94,9.05
mag,assistent,-0.55,5.4
marató,esprint,0.56,8.16
marisc,llamàntol,0.89,8.94
marisc,mar,0.87,8.89
marisc,menjar,0.83,8.77
menjar,fruita,0.49,7.95
menjar,gall,-0.88,4.59
menjar,preparació,0.46,7.9
mes,hotel,-1.31,3.55
metge,infermera,0.76,8.63
metge,personal,-0.03,6.66
metge,responsabilitat,0.53,8.06
migdia,cadena,-2.47,0.72
migdia,migdia,1.33,10.0
milla,quilòmetre,0.96,9.11
ministre,festa,-2.04,1.76
minoria,pau,-0.49,5.56
mitjans,comerç,0.02,6.82
mitjans,guany,-0.63,5.22
mitjans,ràdio,0.48,7.94
moneda,mercat,0.72,8.52
monjo,esclau,-1.49,3.1
monjo,oracle,-0.05,6.62
mort,fila,-2.67,0.23
mort,intern,-1.84,2.25
nadó,mare,1.01,9.23
noi,assistent,-0.99,4.33
noi,germà,-0.1,6.5
noi,noi,1.33,10.0
notícies,informe,0.4,7.74
ocell,gall,0.78,8.66
ocell,grua,0.52,8.02
oli,estoc,-0.28,6.04
ordinador,internet,0.22,7.31
ordinador,laboratori,0.0,6.75
ordinador,notícies,0.08,6.97
ordinador,programari,0.51,8.01
ordinador,teclat,0.56,8.14
pa,mantega,0.21,7.27
paraula,similitud,-0.03,6.66
pau,assegurança,-2.06,1.73
pau,atmosfera,-0.93,4.48
pau,pla,-1.94,2.02
pell,ull,0.21,7.28
pel·lícula,crispetes,0.55,8.09
pel·lícula,crític,0.55,8.09
pel·lícula,estrella,0.46,7.89
pel·lícula,teatre,0.3,7.49
planeta,astrònom,0.49,7.95
planeta,constel·lació,0.25,7.38
planeta,espai,0.51,8.0
planeta,estrella,0.66,8.38
planeta,galàxia,0.42,7.79
planeta,lluna,0.47,7.9
planeta,sol,0.53,8.06
precedent,antecedent,0.92,9.0
precedent,cognició,-0.14,6.39
precedent,col·lecció,-0.62,5.24
precedent,exemple,0.36,7.64
precedent,grup,-1.59,2.87
precedent,informació,-0.06,6.6
precedent,llei,0.6,8.22
prejudici,reconeixement,-0.25,6.13
president,medalla,-0.64,5.18
problema,aeroport,-1.33,3.5
producció,excursió,-2.0,1.84
professor,cogombre,-2.56,0.51
professor,metge,-0.52,5.46
psicologia,Freud,0.9,8.94
psicologia,ansietat,0.42,7.79
psicologia,ciència,0.47,7.9
psicologia,clínica,0.66,8.38
psicologia,cognició,0.64,8.32
psicologia,depressió,0.36,7.63
psicologia,disciplina,0.17,7.17
psicologia,ment,0.94,9.05
psicologia,metge,0.23,7.33
psicologia,por,0.21,7.27
psicologia,psiquiatria,0.9,8.94
psicologia,salut,0.55,8.11
raó,criteri,0.34,7.6
raó,hipertensió,-2.38,0.95
referent,índex,-0.42,5.72
rei,col,-2.47,0.72
rei,reina,1.18,9.63
rei,torre,-0.22,6.21
responsabilitat,assegurança,0.19,7.23
retard,notícies,-0.99,4.34
retard,racisme,-1.91,2.08
sant,sexe,-1.69,2.62
secretària,senat,-0.38,5.81
segle,any,1.03,9.27
segle,nació,-1.29,3.61
set,sèrie,0.46,7.9
signe,esbarjo,-2.62,0.36
situació,aïllament,-0.03,6.66
situació,conclusió,0.25,7.39
supermercat,diners,0.42,7.8
tassa,artefacte,-0.19,6.29
tassa,article,-2.17,1.44
tassa,beure,0.81,8.74
tassa,cafè,0.7,8.48
tassa,entitat,-2.19,1.4
tassa,líquid,0.57,8.17
tassa,menjar,0.17,7.17
tassa,objecte,0.02,6.81
tassa,substància,-1.66,2.71
tassa,vaixella,0.55,8.11
tauler,recomanació,-1.65,2.72
teatre,història,0.36,7.65
televisió,ràdio,0.59,8.21
telèfon,comunicació,0.7,8.47
telèfon,equipament,0.32,7.54
tennis,raqueta,0.78,8.67
territori,quilòmetre,0.09,6.98
territori,superfície,0.25,7.38
tigre,animal,0.44,7.84
tigre,carnívor,0.49,7.95
tigre,fauna,0.27,7.43
tigre,felí,1.12,9.52
tigre,gat,0.28,7.46
tigre,jaguar,0.9,8.94
tigre,mamífer,0.4,7.74
tigre,organisme,-0.1,6.49
tigre,tigre,1.33,10.0
tigre,zoològic,0.38,7.7
tipus,tipus,1.32,9.98
tractament,recuperació,0.81,8.74
tren,cotxe,0.25,7.37
viatge,activitat,0.15,7.13
viatge,cotxe,0.04,6.86
viatge,viatge,1.33,10.0
vida,mort,1.0,9.19
vida,terme,-1.91,2.09
vidre,mag,-1.92,2.06
vodka,aiguardent,0.8,8.71
vodka,gin,0.84,8.82
voluntari,lema,-0.88,4.61
vora,bosc,-0.21,6.23
víctima,emergència,0.81,8.74
vídeo,arxiu,0.51,8.01
xarxa,maquinari,0.15,7.12
